iterations	timeStamps	Strategy	Node Destroy Operator	Node Repair Operator	Path Destroy Operator	Path Repair Operator	New Cost	Current Cost	Best Cost	Cumulative Known Solutions
1	0.347	pathfirst	Node Worst Removal	Node Regret-2 Insert	Path Average-Length Removal	Path Node-Frequency Insert	77675	69881	69881	1
2	0.491	pathfirst	nodeNullDestroy	nodeNullRepair	Path Node-Frequency Removal	Path Random Insert	69896.7	69896.7	69881	2
3	0.675	pathfirst	nodeNullDestroy	nodeNullRepair	Path Node-Frequency Removal	Path Random Insert	69886.9	69886.9	69881	3
4	0.894	pathfirst	nodeNullDestroy	nodeNullRepair	Path Node-Frequency Removal	Path Random Insert	69859.8	69859.8	69859.8	4
5	1.068	pathfirst	nodeNullDestroy	nodeNullRepair	Path Node-Frequency Removal	Path Random Insert	69869.6	69869.6	69859.8	5
6	1.227	pathfirst	nodeNullDestroy	nodeNullRepair	Path Node-Frequency Removal	Path Random Insert	69887.3	69887.3	69859.8	6
7	1.422	pathfirst	nodeNullDestroy	nodeNullRepair	Path Node-Frequency Removal	Path Random Insert	69877.6	69877.6	69859.8	7
8	1.865	pathfirst	Node Worst Removal	Node Regret-2 Insert	Path Random Removal	Path Random Insert	85627.9	69877.6	69859.8	8
9	2.276	pathfirst	Node Worst Removal	Node Regret-2 Insert	Path Random Removal	Path Node-Frequency Insert	87199	69877.6	69859.8	9
10	2.718	pathfirst	Node Worst Removal	Node Regret-2 Insert	Path Random Removal	Path Node-Frequency Insert	87248.1	69859.8	69859.8	10
11	3.082	nodefirst	Node Random Removal	Node Greedy Insert	Path Average-Length-Difference Removal	Path Node-Frequency Insert	94920.7	69859.8	69859.8	11
12	3.441	nodefirst	Node Random Removal	Node Greedy Insert	Path Average-Length-Difference Removal	Path Node-Frequency Insert	94920.7	69859.8	69859.8	11
13	3.618	pathfirst	nodeNullDestroy	nodeNullRepair	Path Node-Frequency Removal	Path K-max Length Insert	69871.4	69871.4	69859.8	12
14	3.79	pathfirst	nodeNullDestroy	nodeNullRepair	Path Node-Frequency Removal	Path K-max Length Insert	69909.8	69909.8	69859.8	13
15	3.992	pathfirst	nodeNullDestroy	nodeNullRepair	Path Node-Frequency Removal	Path K-max Length Insert	69871.4	69871.4	69859.8	13
16	4.156	pathfirst	nodeNullDestroy	nodeNullRepair	Path Node-Frequency Removal	Path K-max Length Insert	69909.8	69909.8	69859.8	13
17	4.345	pathfirst	nodeNullDestroy	nodeNullRepair	Path Cardinality Removal	Path K-max Length Insert	69965.1	69965.1	69859.8	14
18	4.752	nodefirst	Node Shaw Removal	Node Regret-2 Insert	Path Average-Length Removal	Path Node-Frequency Insert	87185.9	69965.1	69859.8	15
19	5.145	nodefirst	Node Shaw Removal	Node Regret-2 Insert	Path Average-Length Removal	Path Random Insert	87126.3	69965.1	69859.8	16
20	5.569	nodefirst	Node Shaw Removal	Node Regret-2 Insert	Path Average-Length Removal	Path Random Insert	87098.6	69859.8	69859.8	17
21	5.79	pathfirst	Node Shaw Removal	Node Greedy Insert	Path Average-Length Removal	Path Random Insert	69910.3	69910.3	69859.8	18
22	6.015	pathfirst	Node Shaw Removal	Node Greedy Insert	Path Average-Length Removal	Path Random Insert	69931.5	69931.5	69859.8	19
23	6.24	pathfirst	Node Shaw Removal	Node Greedy Insert	Path Average-Length Removal	Path Random Insert	69932.4	69932.4	69859.8	20
24	6.52	pathfirst	Node Shaw Removal	Node Greedy Insert	Path Average-Length Removal	Path Random Insert	69859.8	69859.8	69859.8	20
25	6.804	nodefirst	Node Random Removal	Node Greedy Insert	Path Cardinality Removal	Path Random Insert	69861.9	69861.9	69859.8	21
26	7.074	nodefirst	Node Random Removal	Node Greedy Insert	Path Cardinality Removal	Path Random Insert	69884.5	69884.5	69859.8	22
27	7.324	nodefirst	Node Random Removal	Node Greedy Insert	Path Cardinality Removal	Path Random Insert	69908.6	69908.6	69859.8	23
28	7.558	nodefirst	Node Random Removal	Node Random Insert	Path Cardinality Removal	Path Random Insert	97814	69908.6	69859.8	24
29	7.737	pathfirst	nodeNullDestroy	nodeNullRepair	Path Random Removal	Path Random Insert	69911.7	69911.7	69859.8	25
30	7.935	pathfirst	nodeNullDestroy	nodeNullRepair	Path Random Removal	Path Random Insert	69871.3	69871.3	69859.8	26
31	8.137	pathfirst	nodeNullDestroy	nodeNullRepair	Path Random Removal	Path Random Insert	69859.8	69859.8	69859.8	26
32	8.316	pathfirst	nodeNullDestroy	nodeNullRepair	Path Random Removal	Path Random Insert	69871.3	69871.3	69859.8	26
33	8.509	pathfirst	nodeNullDestroy	nodeNullRepair	Path Random Removal	Path Random Insert	69895	69895	69859.8	27
34	8.843	nodefirst	Node Shaw Removal	Node Greedy Insert	Path Random Removal	Path K-max Length Insert	70024.3	70024.3	69859.8	28
35	9.265	nodefirst	Node Shaw Removal	Node Greedy Insert	Path Random Removal	Path K-max Length Insert	69996.7	69996.7	69859.8	29
36	9.636	nodefirst	Node Shaw Removal	Node Greedy Insert	Path Random Removal	Path K-max Length Insert	70052.4	70052.4	69859.8	30
37	9.892	pathfirst	Node Shaw Removal	Node Random Insert	Path Random Removal	Path K-max Length Insert	89437.2	70052.4	69859.8	31
38	10.146	pathfirst	Node Shaw Removal	Node Random Insert	Path Random Removal	Path K-max Length Insert	89437.2	70052.4	69859.8	31
39	10.395	pathfirst	Node Shaw Removal	Node Random Insert	Path Random Removal	Path K-max Length Insert	89437.2	70052.4	69859.8	31
40	10.757	nodefirst	Node Random Removal	Node Regret-2 Insert	pathNullDestroy	pathNullRepair	77068.8	69859.8	69859.8	32
41	11.107	nodefirst	Node Random Removal	Node Regret-2 Insert	pathNullDestroy	pathNullRepair	77068.8	69859.8	69859.8	32
42	11.451	nodefirst	Node Random Removal	Node Regret-2 Insert	pathNullDestroy	pathNullRepair	77068.8	69859.8	69859.8	32
43	11.805	pathfirst	Node Worst Removal	Node Greedy Insert	Path Average-Length-Difference Removal	Path K-max Length Insert	85444.8	69859.8	69859.8	33
44	12.31	pathfirst	Node Worst Removal	Node Greedy Insert	Path Average-Length-Difference Removal	Path K-max Length Insert	69145.6	69145.6	69145.6	34
45	12.693	pathfirst	Node Worst Removal	Node Greedy Insert	Path Average-Length-Difference Removal	Path K-max Length Insert	86666.1	69145.6	69145.6	35
46	13.021	pathfirst	Node Worst Removal	Node Greedy Insert	Path Average-Length-Difference Removal	Path K-max Length Insert	102325	69145.6	69145.6	36
47	13.355	pathfirst	Node Worst Removal	Node Greedy Insert	Path Average-Length-Difference Removal	Path K-max Length Insert	102325	69145.6	69145.6	36
48	13.714	nodefirst	Node Random Removal	Node Regret-2 Insert	Path Average-Length Removal	Path Node-Frequency Insert	77232	69145.6	69145.6	37
