time stamp	Weights of nodefirst	Calls of nodefirst	Weights of pathfirst	Calls of pathfirst	Weights of Node Random Removal	Calls of Node Random Removal	Weights of Node Shaw Removal	Calls of Node Shaw Removal	Weights of Node Worst Removal	Calls of Node Worst Removal	Weights of nodeNullDestroy	Calls of nodeNullDestroy	Weights of Node Greedy Insert	Calls of Node Greedy Insert	Weights of Node Random Insert	Calls of Node Random Insert	Weights of Node Regret-2 Insert	Calls of Node Regret-2 Insert	Weights of Path Average-Length-Difference Removal	Calls of Path Average-Length-Difference Removal	Weights of Path Average-Length Removal	Calls of Path Average-Length Removal	Weights of Path Cardinality Removal	Calls of Path Cardinality Removal	Weights of Path Node-Frequency Removal	Calls of Path Node-Frequency Removal	Weights of Path Random Removal	Calls of Path Random Removal	Weights of pathNullDestroy	Calls of pathNullDestroy	Weights of Path K-max Length Insert	Calls of Path K-max Length Insert	Weights of Path Node-Frequency Insert	Calls of Path Node-Frequency Insert	Weights of Path Random Insert	Calls of Path Random Insert	Weights of nodeNoise	Calls of nodeNoise	Weights of pathNoise	Calls of pathNoise	
0.347	1	0	1	1	1	0	1	0	1	1	2.4	0	1	0	1	0	1	1	1	0	1	1	1	0	1	0	1	0	4	0	1	0	1	1	1	0	0.5	0	0.5	0	
0.491	1	0	1.2	1	1	0	1	0	1	0	2.32	1	1	0	1	0	1	0	1	0	1	0	1	0	1.2	1	1	0	3.2	0	1	0	1	0	1.2	1	0.666667	1	0.666667	1	
0.675	1	0	2.36	1	1	0	1	0	1	0	3.256	1	1	0	1	0	1	0	1	0	1	0	1	0	2.36	1	1	0	2.56	0	1	0	1	0	2.36	1	0.666667	1	0.666667	1	
0.894	1	0	3.488	1	1	0	1	0	1	0	4.2048	1	1	0	1	0	1	0	1	0	1	0	1	0	3.488	1	1	0	2.048	0	1	0	1	0	3.488	1	0.666667	1	0.666667	1	
1.068	1	0	3.1904	1	1	0	1	0	1	0	3.76384	1	1	0	1	0	1	0	1	0	1	0	1	0	3.1904	1	1	0	1.6384	0	1	0	1	0	3.1904	1	0.666667	1	0.666667	1	
1.227	1	0	2.95232	1	1	0	1	0	1	0	3.41107	1	1	0	1	0	1	0	1	0	1	0	1	0	2.95232	1	1	0	1.31072	0	1	0	1	0	2.95232	1	0.666667	1	0.666667	1	
1.423	1	0	3.76186	1	1	0	1	0	1	0	4.12886	1	1	0	1	0	1	0	1	0	1	0	1	0	3.76186	1	1	0	1.04858	0	1	0	1	0	3.76186	1	0.666667	1	0.666667	1	
1.865	1	0	3.00948	1	1	0	1	0	1	1	3.30309	0	1	0	1	0	1	1	1	0	1	0	1	0	3.00948	0	1	1	1	0	1	0	1	0	3.00948	1	0.5	0	0.5	0	
2.276	1	0	2.40759	1	1	0	1	0	1	1	2.64247	0	1	0	1	0	1	1	1	0	1	0	1	0	2.40759	0	1	1	1	0	1	0	1	1	2.40759	0	0.5	0	0.5	0	
2.718	1	0	1.92607	1	1	0	1	0	1	1	2.11398	0	1	0	1	0	1	1	1	0	1	0	1	0	1.92607	0	1	1	1	0	1	0	1	1	1.92607	0	0.5	0	0.5	0	
3.082	1	1	1.54086	0	1	1	1	0	1	0	1.69118	0	1	1	1	0	1	0	1	1	1	0	1	0	1.54086	0	1	0	1	0	1	0	1	1	1.54086	0	0.5	0	0.5	0	
3.441	1	1	1.23268	0	1	1	1	0	1	0	1.35294	0	1	1	1	0	1	0	1	1	1	0	1	0	1.23268	0	1	0	1	0	1	0	1	1	1.23268	0	0.5	0	0.5	0	
3.618	1	0	1.38615	1	1	0	1	0	1	0	1.48236	1	1	0	1	0	1	0	1	0	1	0	1	0	1.38615	1	1	0	1	0	1.2	1	1	0	1	0	0.666667	1	0.666667	1	
3.79	1	0	1.50892	1	1	0	1	0	1	0	1.58588	1	1	0	1	0	1	0	1	0	1	0	1	0	1.50892	1	1	0	1	0	1.36	1	1	0	1	0	0.666667	1	0.666667	1	
3.992	1	0	1.20713	1	1	0	1	0	1	0	1.26871	1	1	0	1	0	1	0	1	0	1	0	1	0	1.20713	1	1	0	1	0	1.088	1	1	0	1	0	0.5	0	0.5	0	
4.156	1	0	1	1	1	0	1	0	1	0	1.01497	1	1	0	1	0	1	0	1	0	1	0	1	0	1	1	1	0	1	0	1	1	1	0	1	0	0.5	0	0.5	0	
4.345	1	0	1.2	1	1	0	1	0	1	0	1.21197	1	1	0	1	0	1	0	1	0	1	0	1.2	1	1	0	1	0	1	0	1.2	1	1	0	1	0	0.666667	1	0.666667	1	
4.752	1	1	1	0	1	0	1	1	1	0	1	0	1	0	1	0	1	1	1	0	1	1	1	0	1	0	1	0	1	0	1	0	1	1	1	0	0.5	0	0.5	0	
5.145	1	1	1	0	1	0	1	1	1	0	1	0	1	0	1	0	1	1	1	0	1	1	1	0	1	0	1	0	1	0	1	0	1	0	1	1	0.5	0	0.5	0	
5.569	1	1	1	0	1	0	1	1	1	0	1	0	1	0	1	0	1	1	1	0	1	1	1	0	1	0	1	0	1	0	1	0	1	0	1	1	0.5	0	0.5	0	
5.79	1	0	1.2	1	1	0	1.2	1	1	0	1	0	1.2	1	1	0	1	0	1	0	1.2	1	1	0	1	0	1	0	1	0	1	0	1	0	1.2	1	0.666667	1	0.333333	0	
6.015	1	0	1.36	1	1	0	1.36	1	1	0	1	0	1.36	1	1	0	1	0	1	0	1.36	1	1	0	1	0	1	0	1	0	1	0	1	0	1.36	1	0.666667	1	0.333333	0	
6.24	1	0	1.488	1	1	0	1.488	1	1	0	1	0	1.488	1	1	0	1	0	1	0	1.488	1	1	0	1	0	1	0	1	0	1	0	1	0	1.488	1	0.666667	1	0.333333	0	
6.52	1	0	2.5904	1	1	0	2.5904	1	1	0	1	0	2.5904	1	1	0	1	0	1	0	2.5904	1	1	0	1	0	1	0	1	0	1	0	1	0	2.5904	1	0.666667	1	0.333333	0	
6.804	1.2	1	2.07232	0	1.2	1	2.07232	0	1	0	1	0	2.47232	1	1	0	1	0	1	0	2.07232	0	1.2	1	1	0	1	0	1	0	1	0	1	0	2.47232	1	0.666667	1	0.666667	1	
7.074	1.36	1	1.65786	0	1.36	1	1.65786	0	1	0	1	0	2.37786	1	1	0	1	0	1	0	1.65786	0	1.36	1	1	0	1	0	1	0	1	0	1	0	2.37786	1	0.666667	1	0.666667	1	
7.324	1.488	1	1.32628	0	1.488	1	1.32628	0	1	0	1	0	2.30228	1	1	0	1	0	1	0	1.32628	0	1.488	1	1	0	1	0	1	0	1	0	1	0	2.30228	1	0.666667	1	0.666667	1	
7.558	1.1904	1	1.06103	0	1.1904	1	1.06103	0	1	0	1	0	1.84183	0	1	1	1	0	1	0	1.06103	0	1.1904	1	1	0	1	0	1	0	1	0	1	0	1.84183	1	0.5	0	0.5	0	
7.737	1	0	1.24882	1	1	0	1	0	1	0	1.2	1	1.47346	0	1	0	1	0	1	0	1	0	1	0	1	0	1.2	1	1	0	1	0	1	0	1.87346	1	0.666667	1	0.666667	1	
7.935	1	0	1.39906	1	1	0	1	0	1	0	1.36	1	1.17877	0	1	0	1	0	1	0	1	0	1	0	1	0	1.36	1	1	0	1	0	1	0	1.89877	1	0.666667	1	0.666667	1	
8.137	1	0	2.51925	1	1	0	1	0	1	0	2.488	1	1	0	1	0	1	0	1	0	1	0	1	0	1	0	2.488	1	1	0	1	0	1	0	2.91902	1	0.666667	1	0.666667	1	
8.316	1	0	2.0154	1	1	0	1	0	1	0	1.9904	1	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1.9904	1	1	0	1	0	1	0	2.33521	1	0.5	0	0.5	0	
8.509	1	0	2.01232	1	1	0	1	0	1	0	1.99232	1	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1.99232	1	1	0	1	0	1	0	2.26817	1	0.666667	1	0.666667	1	
8.843	1.2	1	1.60985	0	1	0	1.2	1	1	0	1.59386	0	1.2	1	1	0	1	0	1	0	1	0	1	0	1	0	1.99386	1	1	0	1.2	1	1	0	1.81454	0	0.666667	1	0.333333	0	
9.265	1.36	1	1.28788	0	1	0	1.36	1	1	0	1.27508	0	1.36	1	1	0	1	0	1	0	1	0	1	0	1	0	1.99508	1	1	0	1.36	1	1	0	1.45163	0	0.666667	1	0.333333	0	
9.636	1.488	1	1.03031	0	1	0	1.488	1	1	0	1.02007	0	1.488	1	1	0	1	0	1	0	1	0	1	0	1	0	1.99607	1	1	0	1.488	1	1	0	1.1613	0	0.666667	1	0.333333	0	
9.892	1.1904	0	1	1	1	0	1.1904	1	1	0	1	0	1.1904	0	1	1	1	0	1	0	1	0	1	0	1	0	1.59685	1	1	0	1.1904	1	1	0	1	0	0.5	0	0.5	0	
10.146	1	0	1	1	1	0	1	1	1	0	1	0	1	0	1	1	1	0	1	0	1	0	1	0	1	0	1.27748	1	1	0	1	1	1	0	1	0	0.5	0	0.5	0	
10.395	1	0	1	1	1	0	1	1	1	0	1	0	1	0	1	1	1	0	1	0	1	0	1	0	1	0	1.02199	1	1	0	1	1	1	0	1	0	0.5	0	0.5	0	
10.757	1	1	1	0	1	1	1	0	1	0	1	0	1	0	1	0	1	1	1	0	1	0	1	0	1	0	1	0	1	1	1	0	1	0	1	0	0.5	0	0.5	0	
11.107	1	1	1	0	1	1	1	0	1	0	1	0	1	0	1	0	1	1	1	0	1	0	1	0	1	0	1	0	1	1	1	0	1	0	1	0	0.5	0	0.5	0	
11.451	1	1	1	0	1	1	1	0	1	0	1	0	1	0	1	0	1	1	1	0	1	0	1	0	1	0	1	0	1	1	1	0	1	0	1	0	0.5	0	0.5	0	
11.805	1	0	1	1	1	0	1	0	1	1	1	0	1	1	1	0	1	0	1	1	1	0	1	0	1	0	1	0	1	0	1	1	1	0	1	0	0.5	0	0.5	0	
12.31	1	0	2.4	1	1	0	1	0	2.4	1	1	0	2.4	1	1	0	1	0	2.4	1	1	0	1	0	1	0	1	0	1	0	2.4	1	1	0	1	0	0.666667	1	0.333333	0	
12.693	1	0	1.92	1	1	0	1	0	1.92	1	1	0	1.92	1	1	0	1	0	1.92	1	1	0	1	0	1	0	1	0	1	0	1.92	1	1	0	1	0	0.5	0	0.5	0	
13.021	1	0	1.536	1	1	0	1	0	1.536	1	1	0	1.536	1	1	0	1	0	1.536	1	1	0	1	0	1	0	1	0	1	0	1.536	1	1	0	1	0	0.5	0	0.5	0	
13.355	1	0	1.2288	1	1	0	1	0	1.2288	1	1	0	1.2288	1	1	0	1	0	1.2288	1	1	0	1	0	1	0	1	0	1	0	1.2288	1	1	0	1	0	0.5	0	0.5	0	
13.714	1	1	1	0	1	1	1	0	1	0	1	0	1	0	1	0	1	1	1	0	1	1	1	0	1	0	1	0	1	0	1	0	1	1	1	0	0.5	0	0.5	0	
14.089	1	1	1	0	1	1	1	0	1	0	1	0	1	0	1	0	1	1	1	0	1	1	1	0	1	0	1	0	1	0	1	0	1	1	1	0	0.5	0	0.5	0	
14.464	1	1	1	0	1	1	1	0	1	0	1	0	1	0	1	0	1	1	1	0	1	1	1	0	1	0	1	0	1	0	1	0	1	1	1	0	0.5	0	0.5	0	
14.595	1	0	1.2	1	1	0	1	0	1	0	1.2	1	1	0	1	0	1	0	1.2	1	1	0	1	0	1	0	1	0	1	0	1	0	1.2	1	1	0	0.666667	1	0.333333	0	
14.733	1	0	1.36	1	1	0	1	0	1	0	1.36	1	1	0	1	0	1	0	1.36	1	1	0	1	0	1	0	1	0	1	0	1	0	1.36	1	1	0	0.666667	1	0.333333	0	
